A1_Pseudonym_Display Name,A2_First Name,A3_Family Name,A7_School,B1_Title_Display,B2_Full Title,B3_Genre,C1_Circa,C2_Start Date,C4_End Date,D1_Object Type,D2_Technique 1,D3_Technique 2,D4_Material,E1_Metric Unit,E2_Height,E3_Metric Unit,E4_Width,E7_Metric Unit,E8_Diameter,F5_Place,F6_Current Location,F7_Latitude,F8_Longitude,G1_Sources,G2_Source Url,G3_Source Url 2,H1_Credit,I1_Filter View
Jan and Hubert van Eyck,,,Flemish,Ghent Altarpiece,Adoration of the Mystic Lamb,Religious,,1432,1432,Painting,Tempera,Oil,Wood,cm,350,cm,460,,,Ghent,Cathedral of St Bavo,51.052987,3.727146,Wikipedia,https://en.wikipedia.org/wiki/Ghent_Altarpiece,,Carlo Corsato,Filter
Jan van Eyck,,,Flemish,Virgin of Chancelor Rolin,,Religious,c.,1435,1435,Painting,Oil,,Wood,cm,66,cm,62,,,Paris,Musée du Louvre,48.862926,2.33603,Mus_e du Louvre,http://www.louvre.fr/en/oeuvre-notices/virgin-chancellor-rolin,,Carlo Corsato,Filter
Jan van Eyck,,,Flemish,Virgin and Child with Canon Joris van der Paele and the saints Donatian and George,,Religious,,1434,1436,Painting,Oil,,Wood,cm,141,cm,176.5,,,Bruges,Groeninge Museum,51.205216,3.226682,Wikipedia,https://en.wikipedia.org/wiki/Virgin_and_Child_with_Canon_van_der_Paele,,Carlo Corsato,Filter
Rogier van der Weyden,,,Flemish,Descent from the Cross,,Religious,c.,1425,1444,Painting,Oil,,Wood,cm,204.5,cm,261.5,,,Madrid,Museo Nacional del Prado,40.41397,-3.692106,Museo Nacional del Prado,https://www.museodelprado.es/en/the-collection/art-work/the-descent-from-the-cross/856d822a-dd22-4425-bebd-920a1d416aa7?searchid=f06c0769-19f0-0cd5-921d-6364a8b62ab7,,Carlo Corsato,Filter
Rogier van der Weyden,,,Flemish,Crucifixion,,Religious,c.,1460,1460,Painting,Oil,,Wood,cm,325,cm,192,,,El Escorial,Monasterio de San Lorenzo,40.589285,-4.147759,Word Gallery of Art,http://www.wga.hu/html_m/w/weyden/rogier/14pieta/5crucifi.html,,Carlo Corsato,Filter
Filippo Brunelleschi,,,Italian,Crucifix,,Religious,c.,1410,1415,Sculpture,Carving,Polychrome,Wood,cm,170,cm,170,,,Florence,"Church of Santa Maria Novella, Gondi Chapel",43.774875,11.249364,Opera per Santa Maria Novella,http://www.operasantamarianovella.it/the-crucifix-by-brunelleschi/?lang=en,,Veerti Mehta,Filter
Fra Filippo Lippi,,,Italian,Herod's Banquet,,Religious,,1452,1465,Painting,Fresco,,Intonaco,No,,,,,,Prato,Cathedral of St Stephen; Great Chapel,43.881944,11.097778,Wikipedia,https://en.wikipedia.org/wiki/Stories_of_St._Stephen_and_St._John_the_Baptist,,Veerti Mehta,Filter
Donatello,Donato,di Betto Bardi,Florentine,David,,Religious,,1430,1449,Sculpture,Carving,,Bronze,cm,158,,,,,Florence,Museo Nazionale del Bargello,43.770406,11.258212,Word Gallery of Art,http://www.wga.hu/index1.html,,Yuchen Wei,Filter
Cosme Tura ,Cosimo ,di Bonaventura,Ferrarese,Annunciation,,Religious,c.,1469,1469,Painting,Tempera,,Canvas,cm,349,cm,305,,,Ferrara,Museo del Duomo,44.834895,11.620711,Word Gallery of Art,http://www.wga.hu/html_m/t/tura/various/organ_1.html,,Yuchen Wei,Filter
Fra Beato Angelico,Guido,di Pietro,Florentine,San Marco Altarpiece,"Virgin and Child with the saints Cosmas, Damian, Lawrence, John the Evangelist, Mark, Dominic, Peter the Martyr, Francis",Religious,,1438,1440,Painting,Tempera,,Wood,cm,220,cm,227,,,Florence,San Marco Museum,43.778653,11.259331,"World Gallery of Art, Wikipedia",http://www.wga.hu/frames-e.html?/html/a/angelico/07/altar_sm.html,https://en.wikipedia.org/wiki/Fra_Angelico,Lily Lacey-Hastings,Filter
Lorenzo Ghiberti,,,Florentine,St John the Baptist,,Religious,,1412,1416,Sculpture,Casting,,Bronze,cm,254,,,,,Florence,Orsanmichele,43.770683,11.254994,"Wikipedia, World Gallery of Art",https://en.wikipedia.org/wiki/St._John_the_Baptist_(Ghiberti),http://www.wga.hu/html_m/g/ghiberti/st_john.html,Lily Lacey-Hastings,Filter
Lorenzo Ghiberti,,,Florentine,Sacrifice of Isaac,,Religious,,1401,1401,Sculpture,Relief,Gilding,Bronze,cm,45,cm,38,,,Florence,Museo Nazionale del Bargello ,43.770631,11.258008,Wikipedia,https://en.wikipedia.org/wiki/Lorenzo_Ghiberti#Florence_Baptistery_doors,http://www.wga.hu/index1.html,Charlotte Gale,Filter
Masaccio,Tommaso ,di Ser Giovanni di Simone,Florentine,Tribute Money,,Religious,c.,1420,1425,Painting,Fresco,,Intonaco,cm,247,cm,597,,,Florence,"Church of Santa Maria del Carmine, Brancacci Chapel",43.768312,11.243891,Wikipedia,https://en.wikipedia.org/wiki/Masaccio,,Charlotte Gale,Filter
Filippo Brunelleschi,,,Florentine,Sacrifice of Isaac,,Religious,,1401,1401,Sculpture,Relief,Gilding,Bronze,cm,45,cm,38,,,Florence,Museo Nazionale del Bargello,43.770631,11.258008,Web Gallery of Art,http://www.wga.hu/index1.html,,Laura Cassidy,Filter
Masaccio,Tommaso ,di Ser Giovanni di Simone,Florentine,Holy Trinity,,Religious,,1425,1428,Painting,Fresco,,Intonaco,cm,640,cm,317,,,Florence,Church of Santa Maria Novella,43.774875,11.249364,Web Gallery of Art,http://www.wga.hu/index1.html,,Laura Cassidy,Filter
Masaccio,Tommaso ,di Ser Giovanni di Simone,Florentine,Expulsion from the Garden of Eden,,Religious,,1426,1427,Painting,Fresco,,Intonaco,cm,208,cm,88,,,Florence,"Chuch of Santa Maria del Carmine, Brancacci Chapel",43.768312,11.243891,Web Gallery of Art,http://www.wga.hu/frames-e.html?/html/m/masaccio/brancacc/expulsio/expuls.html,,Kaja Kusnieruk,Filter
Donatello,Donato,di Betto Bardi,Florentine,St Mark,,Religious,c.,1411,1411,Sculpture,Carving,,Marble,cm,236,,,,,Florence,Orsanmichele,43.770683,11.254994,Web Gallery of Art,http://www.wga.hu/html_m/d/donatell/1_early/orsanmic/2mark_1.html,,Kaja Kusnieruk,Filter
Fra Filippo Lippi,,,Florentine,Coronation of the Virgin ,,Religious,,1441,1447,Painting,Tempera,,Wood,cm,220,cm,287,,,Florence,Galleria degli Uffizi ,43.767902,11.255295,Virtual Uffizi ,https://www.virtualuffizi.com/coronation-of-the-virgin_2.html,,Mathilda Lindborg,Filter
Filippo Brunelleschi and Donatello,,,Florentine,St Peter,,Religious,,1415,1415,Sculpture,Carving,,Marble,No,,,,,,Florence,Orsanmichele,43.770683,11.254994,Wikipedia ,https://en.wikipedia.org/wiki/Orsanmichele,http://www.museumsinflorence.com/musei/orsanmichele.html,Mathilda Lindborg,Filter
Fra Beato Angelico,Guido,di Pietro,Florentine,Annunciation,,Religious,,1425,1428,Painting,Tempera,,Wood,cm,194,cm,194,,,Madrid,Museo Nacional del Prado,40.414051,-3.692127,Wikipedia ,https://en.wikipedia.org/wiki/Fra_Angelico,https://www.museodelprado.es/en/the-collection/art-work/the-annunciation/9b02b6c9-3618-4a92-a6b7-26f9076fcb67,Vijayshri Vaghela,Filter
Donatello,Donato,di Betto Bardi,Florentine,Pazzi Madonna,Madonna and Child,Religious,c.,1417,1418,Sculpture,Carving,,Marble,cm,74.5,cm,69.5,,,Berlin,Bode-Museum,52.521887,13.394267,Wikipedia ,http://history2701.wikia.com/wiki/Pazzi_Madonna,,VIjayshri Vaghela,Filter
Mantegna,,,Venetian,Death of the Virgin,,Religious,c.,1460,1464,Painting,Oil,,Wood,cm,54,cm,42,,,Madrid,Museo del Prado,40.414065,-3.692248,Web Gallery of Art,http://www.wga.hu/html_m/m/mantegna/06/5deathv.html,,Ella Ridley - Jones,Filter
Michelangelo Buonarroti,,,Florentine,Crucifix,,Religious,,1492,1492,Sculpture,Carving,,Wood,cm,142,cm,135,,,Florence,Church of Santo Spirito,43.767201,11.248112,Web Gallery of Art,http://www.wga.hu/html_m/m/michelan/1sculptu/1/2crucifi.html,,Ella Ridley - Jones,Filter
Piero della Francesca ,Piero,di Benedetto dei Franceschi,Central-Italian,Brera Altarpeice ,"Virgin and Child with the saints John the Baptist, Bernardino of Siena, Jerome, Francis, Peter the Martyr, Andrew, Four Angels and the Donor Federico da Montefeltro",Religious,,1472,1474,Painting,Tempera,,Wood,cm,248,cm,150,,,Milan,Pinacoteca di Brera,45.472071,9.187793,Wikipedia,https://en.wikipedia.org/wiki/Piero_della_Francesca,http://www.saylor.org/site/wp-content/uploads/2011/06/Brera-madonna.pdf,Priyanjali Ratwatte,Filter
Donatello,Donato,di Betto Bardi,Florentine,Crucifix,,Religious,c.,1412,1415,Sculpture,Carving,,Wood,cm,168,cm,173,,,Florence,Basilica of Santa Croce ,43.768789,11.262246,"Wikipedia, Web Gallery of Art",https://en.wikipedia.org/wiki/Donatello,http://www.wga.hu/html_m/d/donatell/1_early/various/1cruc_sc.html,Priyanjali Ratwatte,Filter
Piero della Francesca ,Piero,di Benedetto dei Franceschi,Central-Italian,Flagellation of Christ,,Religious,c.,1455,1465,Painting,Oil,Tempera,Wood,cm,58.4,cm,81.5,,,Urbino,Galleria Nazionale delle Marche,43.724301,12.636133,Khan Acadamy,https://www.khanacademy.org/humanities/renaissance-reformation/early-renaissance1/central-italy1/a/piero-della-francescas-flagellation-of-christ,,Liberty John,Filter
